Date,Price,Open,High,Low,Vol.,Change %
03/10/2026,95.17,95.14,95.27,95.06,,0.01%
03/09/2026,95.16,94.96,95.53,94.91,,0.21%
03/08/2026,94.96,95.19,95.22,94.92,,-0.25%
03/06/2026,95.19,94.43,95.23,94.4,,0.79%
03/05/2026,94.44,94.66,95.17,94.15,,-0.21%
03/04/2026,94.64,94.43,94.89,94.19,,0.23%
03/03/2026,94.42,94.41,94.64,93.9,,0.00%
03/02/2026,94.42,94.49,94.65,94.12,,-0.13%
02/27/2026,94.54,94.31,94.69,94.26,,0.27%
02/26/2026,94.29,94.26,94.6,94.07,,-0.01%
02/25/2026,94.3,94.16,94.35,94.07,,0.15%
02/24/2026,94.16,94.18,94.23,93.97,,-0.02%
02/23/2026,94.18,94.29,94.57,94.1,,-0.12%
02/20/2026,94.29,94.3,94.44,94.08,,0.00%
02/19/2026,94.29,94.18,94.38,94.05,,0.12%
02/18/2026,94.18,94.6,94.64,94.15,,-0.45%
02/17/2026,94.61,94.6,94.77,94.21,,0.02%
02/16/2026,94.59,94.75,94.85,94.57,,-0.15%
02/13/2026,94.73,94.78,94.91,94.55,,-0.05%
02/12/2026,94.78,95.02,95.17,94.6,,-0.24%
02/11/2026,95.01,95.19,95.59,94.72,,-0.19%
02/10/2026,95.19,95.11,95.4,94.92,,0.08%
02/09/2026,95.11,94.47,95.16,94.29,,0.86%
02/06/2026,94.3,94.08,94.69,93.99,,0.23%
02/05/2026,94.08,94.4,94.5,94.07,,-0.32%
02/04/2026,94.38,94.57,94.65,94.22,,-0.19%
02/03/2026,94.56,94.29,94.63,94.22,,0.29%
02/02/2026,94.29,94.88,94.88,94.14,,-0.47%
01/30/2026,94.74,95.62,95.69,94.68,,-0.93%
01/29/2026,95.63,95.15,95.67,95,,0.52%
01/28/2026,95.14,94.98,95.31,94.75,,0.13%
01/27/2026,95.02,94.08,95.15,93.82,,1.01%
01/26/2026,94.07,94.1,94.71,93.98,,-0.10%
01/23/2026,94.16,93.58,94.21,93.46,,0.62%
01/22/2026,93.58,93.24,93.6,93.17,,0.35%
01/21/2026,93.25,93.27,93.58,93.1,,0.02%
01/20/2026,93.23,93.02,93.39,92.93,,0.23%
01/19/2026,93.02,92.71,93.1,92.64,,0.38%
01/16/2026,92.67,92.84,92.99,92.57,,-0.15%
01/15/2026,92.81,92.93,92.96,92.63,,-0.13%
01/14/2026,92.93,92.88,93.04,92.7,,0.06%
01/13/2026,92.87,92.94,93.1,92.81,,-0.04%
01/12/2026,92.91,92.7,93.03,92.64,,0.25%
01/09/2026,92.68,93.02,93.17,92.63,,-0.35%
01/08/2026,93.01,93.07,93.15,92.88,,-0.05%
01/07/2026,93.06,93.35,93.57,93.05,,-0.30%
01/06/2026,93.34,93.67,93.92,93.32,,-0.34%
01/05/2026,93.66,93.96,93.99,93.36,,-0.36%
01/02/2026,94,94,94.23,93.82,,0.02%
01/01/2026,93.98,93.99,93.99,93.98,,-0.01%
12/31/2025,93.99,94.13,94.31,93.96,,-0.13%
12/30/2025,94.11,94.15,94.46,94,,-0.04%
12/29/2025,94.15,94.36,94.43,94.06,,-0.18%
12/26/2025,94.32,94.25,94.53,94.21,,0.07%
12/25/2025,94.25,94.31,94.35,94.23,,-0.04%
12/24/2025,94.29,94.2,94.39,94.16,,0.08%
12/23/2025,94.21,93.75,94.23,93.64,,0.49%
12/22/2025,93.75,93.43,93.92,93.35,,0.37%
12/19/2025,93.4,93.55,93.74,93.36,,-0.18%
12/18/2025,93.57,93.5,93.84,93.42,,0.07%
12/17/2025,93.5,93.6,93.81,93.38,,-0.11%
12/16/2025,93.6,93.67,94.25,93.48,,-0.10%
12/15/2025,93.69,93.67,93.93,93.54,,0.06%
12/12/2025,93.63,93.63,93.76,93.47,,-0.01%
12/11/2025,93.64,93.72,93.78,93.31,,-0.07%
12/10/2025,93.71,93.29,93.77,93.17,,0.44%
12/09/2025,93.3,93.29,93.48,93.15,,0.03%
12/08/2025,93.27,93.51,93.9,93.25,,-0.34%
12/05/2025,93.59,92.67,93.6,92.6,,0.99%
12/04/2025,92.67,92.72,92.89,92.5,,-0.05%
12/03/2025,92.72,92.57,92.92,92.45,,0.14%
12/02/2025,92.59,92.33,92.74,92.17,,0.28%
12/01/2025,92.33,92.67,92.78,92.28,,-0.37%
11/28/2025,92.67,92.51,92.92,92.12,,0.17%
11/27/2025,92.51,92.28,92.63,92.24,,0.25%
11/26/2025,92.28,92,92.35,91.91,,0.30%
11/25/2025,92,91.85,92.09,91.63,,0.14%
11/24/2025,91.87,91.79,92.16,91.57,,0.08%
11/21/2025,91.8,91.97,92.46,91.6,,-0.18%
11/20/2025,91.97,92.63,92.77,91.89,,-0.71%
11/19/2025,92.63,92.75,93.19,92.52,,-0.13%
11/18/2025,92.75,92.13,92.87,91.86,,0.67%
11/17/2025,92.13,92.15,92.55,91.96,,-0.04%
11/14/2025,92.17,92.05,92.35,91.94,,0.13%
11/13/2025,92.05,92.21,92.5,92.03,,-0.17%
11/12/2025,92.21,92.21,92.41,92.02,,0.02%
11/11/2025,92.19,92.08,92.4,91.88,,0.08%
11/10/2025,92.12,92,92.36,91.89,,0.16%
11/07/2025,91.97,91.49,92.11,91.38,,0.54%
11/06/2025,91.48,91.59,91.79,91.33,,-0.11%
11/05/2025,91.58,91.64,91.75,91.3,,-0.07%
11/04/2025,91.64,91.88,92.02,91.53,,-0.26%
11/03/2025,91.88,92.23,92.38,91.75,,-0.33%
10/31/2025,92.18,92.37,92.52,92,,-0.22%
10/30/2025,92.38,92.63,92.88,92.15,,-0.27%
10/29/2025,92.63,92.6,93,92.51,,0.02%
10/28/2025,92.61,92.32,92.69,92.14,,0.32%
10/27/2025,92.31,92.26,92.57,92.13,,0.03%
10/24/2025,92.28,92.31,92.48,91.95,,-0.02%
10/23/2025,92.3,92.29,92.49,92.17,,0.01%
10/22/2025,92.29,92.14,92.52,92.03,,0.16%
10/21/2025,92.14,92.01,92.27,91.78,,0.15%
10/20/2025,92,92.1,92.22,91.91,,-0.13%
10/17/2025,92.12,91.89,92.2,91.8,,0.25%
10/16/2025,91.89,91.98,92.22,91.84,,-0.09%
10/15/2025,91.97,91.98,92.11,91.85,,-0.02%
10/14/2025,91.99,92.01,92.18,91.75,,-0.02%
10/13/2025,92.01,92.24,92.44,91.98,,-0.21%
10/10/2025,92.2,92.12,92.41,92.02,,0.09%
10/09/2025,92.12,92.57,92.84,92.02,,-0.49%
10/08/2025,92.57,92.62,92.88,92.39,,-0.05%
10/07/2025,92.62,92.67,92.79,92.45,,-0.05%
10/06/2025,92.67,92.56,92.78,92.43,,0.06%
10/03/2025,92.61,92.45,92.69,92.41,,0.16%
10/02/2025,92.46,92.72,92.74,92.33,,-0.28%
10/01/2025,92.72,92.78,93.01,92.56,,-0.06%
09/30/2025,92.78,92.86,92.96,92.67,,-0.08%
09/29/2025,92.85,92.66,92.94,92.6,,0.19%
09/26/2025,92.67,92.69,92.89,92.48,,-0.01%
09/25/2025,92.68,92.94,93.17,92.61,,-0.28%
09/24/2025,92.94,93.35,93.38,92.86,,-0.44%
09/23/2025,93.35,93.5,93.67,93.2,,-0.15%
09/22/2025,93.49,93.73,93.79,93.4,,-0.28%
09/19/2025,93.75,93.65,93.84,93.42,,0.11%
09/18/2025,93.65,93.8,93.86,93.55,,-0.16%
09/17/2025,93.8,94,94.13,93.7,,-0.21%
09/16/2025,94,93.79,94.04,93.73,,0.25%
09/15/2025,93.77,93.3,93.86,93.26,,0.46%
09/12/2025,93.34,93.41,93.5,93.1,,-0.06%
09/11/2025,93.4,93.19,93.45,93.01,,0.21%
09/10/2025,93.2,93.33,93.42,93.14,,-0.15%
09/09/2025,93.34,93.55,93.71,93.21,,-0.24%
09/08/2025,93.56,93.45,93.71,93.31,,0.15%
09/05/2025,93.42,93.47,93.91,93.24,,-0.04%
09/04/2025,93.46,93.66,93.75,93.27,,-0.22%
09/03/2025,93.67,93.75,93.78,93.53,,-0.07%
09/02/2025,93.74,93.96,94,93.43,,-0.23%
09/01/2025,93.96,94.05,94.2,93.79,,-0.04%
08/29/2025,94,93.97,94.14,93.63,,0.03%
08/28/2025,93.97,93.69,94.03,93.66,,0.30%
08/27/2025,93.69,93.37,93.75,93.13,,0.35%
08/26/2025,93.36,93.22,93.52,93.09,,0.15%
08/25/2025,93.22,93.46,93.65,93.18,,-0.24%
08/22/2025,93.44,92.88,93.53,92.72,,0.61%
08/21/2025,92.87,93.12,93.26,92.86,,-0.27%
08/20/2025,93.12,93.16,93.34,93,,-0.05%
08/19/2025,93.17,93.6,93.71,93.14,,-0.46%
08/18/2025,93.6,93.52,93.88,93.39,,0.12%
