Date,Currency,Mean,Buy,Sell
04/01/2024,KES/CAD,117.8343,117.5238,118.1448
03/01/2024,KES/CAD,118.0399,117.7441,118.3357
02/01/2024,KES/CAD,118.4616,118.0776,118.8457
29/12/2023,KES/CAD,118.3076,117.9495,118.6658
28/12/2023,KES/CAD,118.2576,117.9234,118.5919
27/12/2023,KES/CAD,117.8657,117.5557,118.1757
22/12/2023,KES/CAD,116.2646,115.9804,116.5488
21/12/2023,KES/CAD,115.9256,115.6548,116.1964
20/12/2023,KES/CAD,115.4165,115.1301,115.7028
19/12/2023,KES/CAD,115.4576,115.1559,115.7593
18/12/2023,KES/CAD,114.8293,114.6079,115.0507
15/12/2023,KES/CAD,114.3546,114.1472,114.5619
14/12/2023,KES/CAD,112.9782,112.9004,113.056
13/12/2023,KES/CAD,112.9629,112.8725,113.0532
11/12/2023,KES/CAD,112.9752,112.8848,113.0655
08/12/2023,KES/CAD,112.9273,112.8245,113.03
07/12/2023,KES/CAD,112.6965,112.6064,112.7865
06/12/2023,KES/CAD,112.7866,112.6964,112.8768
05/12/2023,KES/CAD,113.0483,112.9703,113.1262
04/12/2023,KES/CAD,113.1223,113.0443,113.2003
01/12/2023,KES/CAD,112.6316,112.5416,112.7217
30/11/2023,KES/CAD,112.772,112.6776,112.8664
29/11/2023,KES/CAD,112.5661,112.4884,112.6438
28/11/2023,KES/CAD,112.4453,112.3635,112.5271
27/11/2023,KES/CAD,111.763,111.6736,111.8524
24/11/2023,KES/CAD,111.5558,111.4787,111.6329
23/11/2023,KES/CAD,111.1694,111.0804,111.2584
22/11/2023,KES/CAD,111.2024,111.1092,111.2955
21/11/2023,KES/CAD,111.113,111.0239,111.2021
20/11/2023,KES/CAD,111.062,110.9851,111.139
17/11/2023,KES/CAD,110.6579,110.5811,110.7346
16/11/2023,KES/CAD,111.2598,111.1826,111.337
15/11/2023,KES/CAD,109.8553,109.7631,109.9474
14/11/2023,KES/CAD,109.9083,109.82,109.9966
10/11/2023,KES/CAD,109.9007,109.8242,109.9771
09/11/2023,KES/CAD,109.8737,109.7972,109.9502
08/11/2023,KES/CAD,110.0941,109.9974,110.1909
07/11/2023,KES/CAD,110.7093,110.6159,110.8028
