Date,Currency,Mean,Buy,Sell
10/03/2026,KES/CAD,95.17,95.06,95.27
09/03/2026,KES/CAD,95.16,94.91,95.53
08/03/2026,KES/CAD,94.96,94.92,95.22
06/03/2026,KES/CAD,95.19,94.4,95.23
05/03/2026,KES/CAD,94.44,94.15,95.17
04/03/2026,KES/CAD,94.64,94.19,94.89
03/03/2026,KES/CAD,94.42,93.9,94.64
02/03/2026,KES/CAD,94.42,94.12,94.65
27/02/2026,KES/CAD,94.54,94.26,94.69
26/02/2026,KES/CAD,94.29,94.07,94.6
25/02/2026,KES/CAD,94.3,94.07,94.35
24/02/2026,KES/CAD,94.16,93.97,94.23
23/02/2026,KES/CAD,94.18,94.1,94.57
20/02/2026,KES/CAD,94.29,94.08,94.44
19/02/2026,KES/CAD,94.29,94.05,94.38
18/02/2026,KES/CAD,94.18,94.15,94.64
17/02/2026,KES/CAD,94.61,94.21,94.77
16/02/2026,KES/CAD,94.59,94.57,94.85
13/02/2026,KES/CAD,94.73,94.55,94.91
12/02/2026,KES/CAD,94.78,94.6,95.17
11/02/2026,KES/CAD,95.01,94.72,95.59
10/02/2026,KES/CAD,95.19,94.92,95.4
09/02/2026,KES/CAD,95.11,94.29,95.16
06/02/2026,KES/CAD,94.3,93.99,94.69
05/02/2026,KES/CAD,94.08,94.07,94.5
04/02/2026,KES/CAD,94.38,94.22,94.65
03/02/2026,KES/CAD,94.56,94.22,94.63
02/02/2026,KES/CAD,94.29,94.14,94.88
30/01/2026,KES/CAD,94.74,94.68,95.69
29/01/2026,KES/CAD,95.63,95,95.67
28/01/2026,KES/CAD,95.14,94.75,95.31
27/01/2026,KES/CAD,95.02,93.82,95.15
26/01/2026,KES/CAD,94.07,93.98,94.71
23/01/2026,KES/CAD,94.16,93.46,94.21
22/01/2026,KES/CAD,93.58,93.17,93.6
21/01/2026,KES/CAD,93.25,93.1,93.58
20/01/2026,KES/CAD,93.23,92.93,93.39
19/01/2026,KES/CAD,93.02,92.64,93.1
16/01/2026,KES/CAD,92.67,92.57,92.99
15/01/2026,KES/CAD,92.81,92.63,92.96
14/01/2026,KES/CAD,92.93,92.7,93.04
13/01/2026,KES/CAD,92.87,92.81,93.1
12/01/2026,KES/CAD,92.91,92.64,93.03
09/01/2026,KES/CAD,92.68,92.63,93.17
08/01/2026,KES/CAD,93.01,92.88,93.15
07/01/2026,KES/CAD,93.06,93.05,93.57
06/01/2026,KES/CAD,93.34,93.32,93.92
05/01/2026,KES/CAD,93.66,93.36,93.99
02/01/2026,KES/CAD,94,93.82,94.23
01/01/2026,KES/CAD,93.98,93.98,93.99
31/12/2025,KES/CAD,93.99,93.96,94.31
30/12/2025,KES/CAD,94.11,94,94.46
29/12/2025,KES/CAD,94.15,94.06,94.43
26/12/2025,KES/CAD,94.32,94.21,94.53
